"Main.MR.results.Exposure" "Main.MR.results.MR.Analysis" "Main.MR.results.Causal.Estimate" "Main.MR.results.Sd" "Main.MR.results.T.stat" "Main.MR.results.P.value" "MR.PRESSO.results.Global.Test.RSSobs" "MR.PRESSO.results.Global.Test.Pvalue" "MR.PRESSO.results.Outlier.Test.RSSobs" "MR.PRESSO.results.Outlier.Test.Pvalue" "MR.PRESSO.results.Distortion.Test.Outliers.Indices" "MR.PRESSO.results.Distortion.Test.Distortion.Coefficient" "MR.PRESSO.results.Distortion.Test.Pvalue"
"2" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00143991876947338 "1" 161 8.49085364959108 0.879
"3" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000791933843567094 "1" 161 8.49085364959108 0.879
"4" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 9.81620702559506e-08 "1" 161 8.49085364959108 0.879
"5" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00434953744744049 "1" 161 8.49085364959108 0.879
"6" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 1.76791212913972e-05 "1" 161 8.49085364959108 0.879
"8" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000255341300328979 "1" 161 8.49085364959108 0.879
"9" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 1.94762962695504e-05 "1" 161 8.49085364959108 0.879
"11" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000232338867773654 "1" 161 8.49085364959108 0.879
"12" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00464278861349783 "1" 161 8.49085364959108 0.879
"13" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000609616010636593 "1" 161 8.49085364959108 0.879
