Main.MR.results.Exposure	Main.MR.results.MR.Analysis	Main.MR.results.Causal.Estimate	Main.MR.results.Sd	Main.MR.results.T.stat	Main.MR.results.P.value	MR.PRESSO.results.Global.Test.RSSobs	MR.PRESSO.results.Global.Test.Pvalue	MR.PRESSO.results.Outlier.Test.RSSobs	MR.PRESSO.results.Outlier.Test.Pvalue	MR.PRESSO.results.Distortion.Test.Outliers.Indices	MR.PRESSO.results.Distortion.Test.Distortion.Coefficient	MR.PRESSO.results.Distortion.Test.Pvalue
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000869085	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	7.17E-06	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001253694	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000735834	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000562364	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000509438	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001432783	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.001087414	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001098296	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	9.10E-05	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001043562	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000201155	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	4.41E-05	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.001025828	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.002172438	1	45	-596.9665216	0.027
