SNP,Q_statistic,p.value,Qsum,Qdif
rs7029718,204.19639239906,2.53589572459329e-46,204.19639239906,-1685.64224492782
rs6792892,134.392030503087,4.48457345779258e-31,338.588422902147,-1551.25021442473
rs8056890,67.204896014743,2.44705660452261e-16,405.79331891689,-1484.04531840999
rs2725370,62.3624832529987,2.85714614113909e-15,468.155802169889,-1421.68283515699
rs303760,61.3395459067043,4.80334935466706e-15,529.495348076593,-1360.34328925029
rs34506349,53.3910380560295,2.73340999306671e-13,582.886386132623,-1306.95225119426
rs11602873,50.0444941291371,1.5029892957018e-12,632.93088026176,-1256.90775706512
rs6870983,42.2981116932946,7.83681899719799e-11,675.228991955054,-1214.60964537182
rs75432112,41.3149851449864,1.29571767370486e-10,716.543977100041,-1173.29466022684
rs73184014,37.4459396498419,9.39821479810512e-10,753.989916749883,-1135.848720577
rs13415288,35.7760065207443,2.21357283718221e-09,789.765923270627,-1100.07271405625
rs144052331,30.5235786218693,3.29833337808208e-08,820.289501892496,-1069.54913543438
rs8192675,30.3697935509245,3.57044977162174e-08,850.659295443421,-1039.17934188346
rs9927842,29.8175578852199,4.7467363621627e-08,880.476853328641,-1009.36178399824
rs853866,29.7617843823516,4.88527639998282e-08,910.238637710992,-979.599999615887
rs12505942,29.5992731712549,5.31248557157216e-08,939.837910882247,-950.000726444632
rs11759026,26.3234615256943,2.88759489723666e-07,966.161372407941,-923.677264918938
rs329118,25.0129628347681,5.69461685343832e-07,991.17433524271,-898.664302084169
rs10159026,23.1287667977576,1.51506994890934e-06,1014.30310204047,-875.535535286412
rs197374,22.4264636192302,2.18344734628183e-06,1036.7295656597,-853.109071667182
rs8061528,19.517290353205,9.9693212612655e-06,1056.2468560129,-833.591781313977
rs242105,19.2861827591763,1.12517665416821e-05,1075.53303877208,-814.305598554801
rs12918782,18.9851742234435,1.31738097907723e-05,1094.51821299552,-795.320424331357
rs6976111,16.6803402319966,4.42370728379289e-05,1111.19855322752,-778.64008409936
