SNP,Q_statistic,p.value,Qsum,Qdif
rs10188334,49.0294507918641,2.52148027755926e-12,49.0294507918641,-803.579995816199
rs6976111,42.2776124298093,7.91939424403917e-11,91.3070632216734,-761.30238338639
rs6975279,34.9258716718248,3.42499482081282e-09,126.232934893498,-726.376511714565
rs12505942,34.6220068610876,4.00354527785681e-09,160.854941754586,-691.754504853477
rs10767659,30.0912084637039,4.12195646401092e-08,190.94615021829,-661.663296389773
rs2613499,26.4804830964535,2.66214179384569e-07,217.426633314743,-635.18281329332
rs62618693,20.4354156930884,6.16777762397885e-06,237.862049007832,-614.747397600231
rs197374,16.7999294694796,4.15348465812606e-05,254.661978477311,-597.947468130752
rs4833687,16.7467608099893,4.27151258152092e-05,271.408739287301,-581.200707320762
rs3747207,15.1445665660139,9.95844841802592e-05,286.553305853314,-566.056140754749
rs329118,14.7207321495369,0.000124667878012399,301.274038002851,-551.335408605212
rs978444,13.6471572707718,0.000220575016218286,314.921195273623,-537.68825133444
rs10750397,12.9104141482353,0.000326758985573756,327.831609421858,-524.777837186205
rs1426371,11.924592191384,0.000553977530095054,339.756201613242,-512.85324499482
rs6712905,11.7475939230839,0.000609219434819995,351.503795536326,-501.105651071737
rs7227272,11.5649293215026,0.000672074449264839,363.068724857829,-489.540721750234
rs6716394,11.5012861928349,0.000695480481434215,374.570011050664,-478.039435557399
rs13415288,11.4240123128661,0.00072500956485655,385.99402336353,-466.615423244533
rs11759026,11.2306864033148,0.000804558833295389,397.224709766845,-455.384736841218
rs2237897,11.0967513506635,0.000864790760666591,408.321461117508,-444.287985490555
rs8043085,9.83242263386629,0.00171462366868817,418.153883751375,-434.455562856688
rs13237518,9.55934863703767,0.0019893368400067,427.713232388412,-424.896214219651
rs8061528,9.01694109036405,0.00267488667833195,436.730173478776,-415.879273129287
rs4805881,8.8589592403537,0.00291653817234116,445.58913271913,-407.020313888933
rs6870983,8.84693130493528,0.00293582076605789,454.436064024065,-398.173382583998
rs7742292,8.79600018718539,0.00301891689586931,463.232064211251,-389.377382396812
rs8054556,8.38135884473857,0.00379088894192338,471.613423055989,-380.996023552074
rs4906272,8.34003328654564,0.00387808872384091,479.953456342535,-372.655990265528
rs6011155,7.14750619460614,0.00750682967096082,487.100962537141,-365.508484070922
rs12883788,7.14029820310496,0.00753706246212137,494.241260740246,-358.368185867817
rs757110,7.03566942571963,0.00799020014792107,501.276930165966,-351.332516442097
rs2032217,6.90569403871867,0.0085921666434592,508.182624204684,-344.426822403379
rs539515,6.85595159382011,0.00883464918324319,515.038575798504,-337.570870809559
rs1650505,6.83976230347807,0.00891507007842071,521.878338101982,-330.731108506081
rs7156625,6.66391343955859,0.00983846225185556,528.542251541541,-324.067195066522
rs6792892,6.64527652596223,0.00994190461972717,535.187528067503,-317.42191854056
rs464605,6.63445479899366,0.0100024804267082,541.821982866497,-310.787463741566
rs9384,6.58497279471032,0.0102843187816802,548.406955661207,-304.202490946856
rs12603589,6.28702166635462,0.0121625261348681,554.693977327562,-297.915469280501
rs41304257,5.88701823056079,0.0152529056222166,560.580995558123,-292.02845104994
rs12986742,5.83526412568799,0.0157080513290014,566.416259683811,-286.193186924252
rs303760,5.81438288705065,0.0158956299798743,572.230642570861,-280.378804037202
rs4129858,5.78597231245319,0.0161545598244783,578.016614883314,-274.592831724749
rs2725370,5.62152777385729,0.0177411771694218,583.638142657172,-268.971303950891
rs7732130,5.49524590226379,0.0190682459402463,589.133388559436,-263.476058048627
rs12789028,5.48141212860993,0.0192197263343569,594.614800688046,-257.994645920017
rs10998338,5.42072021186669,0.0198991500048172,600.035520899912,-252.573925708151
rs12910361,5.35325197169111,0.0206836586262171,605.388772871603,-247.22067373646
rs9913225,5.27879124921357,0.0215867292148331,610.667564120817,-241.941882487246
rs12056338,5.19351885435971,0.0226712670629438,615.861082975177,-236.748363632886
rs60251368,5.05798505044514,0.0245127216715906,620.919068025622,-231.690378582441
rs2513505,4.92944804815633,0.0264027494408748,625.848516073778,-226.760930534285
rs8071043,4.91294478146762,0.0266561585931083,630.761460855246,-221.847985752817
rs59646751,4.73151857967678,0.0296147268891427,635.492979434922,-217.116467173141
rs3753693,4.68686539215079,0.0303940460571839,640.179844827073,-212.42960178099
rs9937296,4.65087085510623,0.0310377974794853,644.83071568218,-207.778730925883
rs61967710,4.58910506115945,0.032175810391647,649.419820743339,-203.189625864724
rs1109442,4.57921071260788,0.0323621181539663,653.999031455947,-198.610415152116
rs4810145,4.5722768324668,0.0324933519694212,658.571308288414,-194.038138319649
rs730831,4.44975751946287,0.0349062027830502,663.021065807876,-189.588380800187
rs11199116,4.44520611616637,0.0349993650481179,667.466271924043,-185.14317468402
rs7674402,4.44335130917604,0.0350374054687764,671.909623233219,-180.699823374844
rs7224711,4.41856319743512,0.0355499587849279,676.328186430654,-176.281260177409
rs8192675,4.33790891523316,0.0372726740686114,680.666095345887,-171.943351262176
rs76895963,4.02354157475737,0.0448693983828576,684.689636920644,-167.919809687418
rs7274134,3.98486281572744,0.0459108391009626,688.674499736372,-163.934946871691
