"exposure" "outcome" "id.exposure" "id.outcome" "samplesize" "SNP" "b" "se" "p"
"1" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs1046896" -0.0158151785714286 0.1376535 0.908531344324536
"2" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs10774625" -1.91639088888889 0.395321222222222 1.24913508006175e-06
"3" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs11248914" 0.199064571428571 0.269647142857143 0.460368023405623
"4" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs11558471" 0.313756533333333 0.253657133333333 0.216112463321243
"5" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs11603334" -0.597884416666667 0.403093583333333 0.138010729601583
"6" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs11619319" -0.123484333333333 0.479212111111111 0.796652342037951
"7" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs11708067" -0.246787769230769 0.323490923076923 0.44552940810772
"8" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs11964178" -0.1941465 0.3580601 0.587668589276726
"9" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs12621844" -0.7210894 0.3660777 0.0488645706279063
"10" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs13134327" -0.327549538461539 0.294148153846154 0.265471029329392
"11" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs1467311" 0.542541888888889 0.416110666666667 0.192288012273833
"12" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs174577" 0.103298125 0.463822125 0.82376071528782
"13" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs17509001" 0.210325388888889 0.284639611111111 0.459956670496787
"14" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs17533903" 0.0803416666666667 0.290475866666667 0.782097728728697
"15" "Glycated haemoglobin" "Smoking initiation" "2XAmJR" "8liILp" NA "rs17747324" 0.5468092 0.284272533333333 0.0544124396077113
