SNP,Q_statistic,p.value,Qsum,Qdif
rs12883788,18.2728237809932,1.9141857567392e-05,18.2728237809932,-538.658963939058
rs7227272,16.9106276631054,3.9181596976464e-05,35.1834514440987,-521.748336275953
rs10767659,16.7487999188431,4.26692443191148e-05,51.9322513629418,-504.99953635711
rs667920,15.3510698790865,8.92703621192348e-05,67.2833212420283,-489.648466478023
rs1426371,13.8413049483955,0.00019891502868879,81.1246261904238,-475.807161529628
rs1470560,11.1473015779495,0.000841539967384667,92.2719277683733,-464.659859951678
rs2408252,11.0970295129352,0.000864661058120555,103.368957281309,-453.562830438743
rs80196932,11.0343963790471,0.000894367925803916,114.403353660356,-442.528434059696
rs13237518,10.6340153424566,0.00111026383398099,125.037369002812,-431.894418717239
rs8056890,10.5590816645175,0.00115618622620161,135.59645066733,-421.335337052722
rs8107527,10.3647835643724,0.00128441956678356,145.961234231702,-410.97055348835
rs723355,10.0477992259395,0.00152530052533071,156.009033457642,-400.92275426241
rs197374,9.20763458378142,0.00241007898131018,165.216668041423,-391.715119678629
rs12001437,8.66114201404412,0.00325067503308411,173.877810055467,-383.053977664585
rs217256,8.47745530012075,0.00359574733229431,182.355265355588,-374.576522364464
rs10159026,8.32672523229803,0.003906601845607,190.681990587886,-366.249797132166
rs4440243,8.20747640607272,0.00417181321857651,198.889466993959,-358.042320726093
rs7029718,7.99845695455018,0.00468172297373846,206.887923948509,-350.043863771543
rs12603589,7.92996264396594,0.00486228008230303,214.817886592475,-342.113901127577
rs6956980,7.45571550782343,0.00632353379390388,222.273602100298,-334.658185619753
rs10188334,7.26153800131283,0.00704469352333764,229.535140101611,-327.396647618441
rs11708067,7.243046715645,0.00711761010615764,236.778186817256,-320.153600902796
rs7546252,7.05529540955272,0.00790312756868787,243.833482226809,-313.098305493243
rs9913225,7.03886227612466,0.00797596821603763,250.872344502933,-306.059443217118
rs10938398,7.02056232312343,0.00805789212607325,257.892906826057,-299.038880893995
rs60384372,6.95284740346074,0.00836859302236361,264.845754229518,-292.086033490534
rs3798519,6.65021003070941,0.00991441368316025,271.495964260227,-285.435823459825
rs501470,6.32961575312467,0.0118738040605631,277.825580013352,-279.1062077067
rs11646052,6.02905071949741,0.014072299273848,283.854630732849,-273.077156987203
rs10469860,5.95558961624857,0.014670695460108,289.810220349098,-267.121567370954
rs303760,5.61483408627313,0.0178090671133136,295.425054435371,-261.506733284681
rs6011155,5.42145607565566,0.0198907652583733,300.846510511026,-256.085277209025
rs6792892,5.36997809172768,0.0204862348659028,306.216488602754,-250.715299117298
rs7664347,4.93965818108757,0.0262472267811306,311.156146783842,-245.77564093621
rs13434089,4.66208282268247,0.0308357641742341,315.818229606524,-241.113558113528
rs1421085,4.51387741935792,0.0336209421719961,320.332107025882,-236.59968069417
rs11583755,4.49345517698159,0.0340248429438151,324.825562202864,-232.106225517188
rs4906272,4.20935396712722,0.0402016451576552,329.034916169991,-227.896871550061
rs17772814,4.19176223722635,0.0406208514745923,333.226678407217,-223.705109312834
rs6059662,4.06850314485677,0.0436899738833095,337.295181552074,-219.636606167978
rs2032217,4.05904749032668,0.0439352752100894,341.354229042401,-215.577558677651
rs4343858,4.00987858292802,0.045234408197428,345.364107625329,-211.567680094723
