SNP,Q_statistic,p.value,Qsum,Qdif
rs1260326,160.97163326053,6.94004148611519e-37,160.97163326053,-689.711083924991
rs8056890,41.7079211139512,1.05978750653385e-10,202.679554374481,-648.00316281104
rs1426371,24.0133269374539,9.56712013604924e-07,226.692881311935,-623.989835873586
rs7132908,22.6702502548056,1.92322578886667e-06,249.363131566741,-601.319585618781
rs6975279,22.183853931216,2.47748542476851e-06,271.546985497957,-579.135731687564
rs6870983,21.3856612085379,3.75569494307638e-06,292.932646706495,-557.750070479027
rs35895680,19.4401711731311,1.03800635130417e-05,312.372817879626,-538.309899305895
rs11651755,14.2051645260904,0.000163920001901385,326.577982405716,-524.104734779805
rs2943650,13.9142670707308,0.000191340555777406,340.492249476447,-510.190467709074
rs1421085,13.8476623243524,0.000198243200274626,354.3399118008,-496.342805384722
rs8054556,13.5629176107684,0.000230698215802364,367.902829411568,-482.779887773953
rs79090772,13.074909691713,0.000299277648060459,380.977739103281,-469.70497808224
rs12746673,11.5115839094513,0.000691638187755208,392.489323012732,-458.193394172789
rs12603589,10.7416224254313,0.00104752454980137,403.230945438164,-447.451771747358
rs9913225,10.7403409748338,0.00104825018010794,413.971286412997,-436.711430772524
rs7156625,10.7199888065529,0.00105984313440637,424.69127521955,-425.991441965971
rs303760,10.1132977840871,0.00147203327736427,434.804573003637,-415.878144181884
rs10188334,9.38458123347689,0.00218818032595199,444.189154237114,-406.493562948407
rs10818763,8.85799078016362,0.00291808598699722,453.047145017278,-397.635572168244
rs13415288,8.10673403849193,0.00441011129284317,461.15387905577,-389.528838129752
rs12986742,7.5830622550131,0.00589192640812246,468.736941310783,-381.945775874739
rs76675804,7.10855503426962,0.00767169248200098,475.845496345052,-374.837220840469
rs11646052,6.98159806079853,0.00823520407425489,482.827094405851,-367.85562277967
rs9873519,6.66721938495402,0.00982022842091896,489.494313790805,-361.188403394716
rs6059662,6.4149202537186,0.0113165409919763,495.909234044524,-354.773483140998
rs10767659,6.35064878597721,0.0117338378001984,502.259882830501,-348.422834355021
rs6716394,6.23295930020044,0.0125394009146873,508.492842130701,-342.18987505482
rs993380,6.08238950545363,0.0136535967730188,514.575231636155,-336.107485549366
rs4671799,5.97076468515122,0.0145449721243797,520.545996321306,-330.136720864215
rs2723065,5.87633343309835,0.0153457459949792,526.422329754404,-324.260387431117
rs7659468,5.78074605125117,0.0162026626715859,532.203075805656,-318.479641379866
rs3744347,5.77318366356202,0.0162725289375155,537.976259469218,-312.706457716304
rs978444,5.75467522498864,0.0164448353226208,543.730934694206,-306.951782491315
rs6011155,5.64478181101437,0.0175073946092441,549.375716505221,-301.307000680301
rs7664347,5.52776632901769,0.018716985046864,554.903482834238,-295.779234351283
rs539515,5.49133624606683,0.0191109313474944,560.394819080305,-290.287898105216
rs1996617,5.29836508519274,0.021345450526183,565.693184165498,-284.989533020023
rs730831,5.27619389162225,0.0216189573436116,570.96937805712,-279.713339128401
rs3798519,5.21380457341314,0.0224082475653829,576.183182630533,-274.499534554988
rs10938398,5.09540082360448,0.0239893694853908,581.278583454138,-269.404133731384
rs174541,5.08853348950293,0.0240845502410447,586.367116943641,-264.315600241881
rs7147483,4.64165543592634,0.0312048875488215,591.008772379567,-259.673944805954
rs6946660,4.50541898257559,0.0337876176434243,595.514191362143,-255.168525823379
rs2269247,4.36919674100498,0.0365942383262067,599.883388103148,-250.799329082374
rs34506349,4.32583308205562,0.0375380347950029,604.209221185203,-246.473496000318
rs13094957,4.2406820886675,0.0394663081595421,608.449903273871,-242.232813911651
rs529623,4.16857759607923,0.0411803579599689,612.61848086995,-238.064236315571
rs60251368,4.0606219804772,0.0438943289779984,616.679102850427,-234.003614335094
rs6538805,3.94443575412657,0.0470266220882958,620.623538604554,-230.059178580968
